exercicio,periodo,relatorio,co_ibge,instituicao,uf,conta,valor,simplificado
2024,3,RGF-Municipio,2313203,TAMBORIL,CE,% da DC sobre a RCL AJUSTADA,28.76,False
2024,3,RGF-Municipio,2313203,TAMBORIL,CE,% da DCL sobre a RCL AJUSTADA,29.43,False
2024,3,RGF-Municipio,2313203,TAMBORIL,CE,Precatórios (Não incluídos na DC),18000.0,False
2024,3,RGF-Municipio,2300804,ANTONINA DO NORTE,CE,DÍVIDA CONSOLIDADA,10712700.54,False
2024,3,RGF-Municipio,2300804,ANTONINA DO NORTE,CE,Disponibilidade de Caixa,10496200.15,False
2024,3,RGF-Municipio,2300804,ANTONINA DO NORTE,CE,Disponibilidade de Caixa Bruta,14610750.77,False
2024,3,RGF-Municipio,2300804,ANTONINA DO NORTE,CE,RECEITA CORRENTE LÍQUIDA,62081941.27,False
2024,3,RGF-Municipio,2300804,ANTONINA DO NORTE,CE,RECEITA CORRENTE LÍQUIDA AJUSTADA,59131941.27,False
2024,3,RGF-Municipio,2300804,ANTONINA DO NORTE,CE,% da DC sobre a RCL AJUSTADA,18.12,False
2024,3,RGF-Municipio,2300804,ANTONINA DO NORTE,CE,% da DCL sobre a RCL AJUSTADA,0.36,False
2024,3,RGF-Municipio,2304806,GRANJEIRO,CE,DÍVIDA CONSOLIDADA,24902824.08,False
2024,3,RGF-Municipio,2304806,GRANJEIRO,CE,Disponibilidade de Caixa,7584959.86,False
2024,3,RGF-Municipio,2304806,GRANJEIRO,CE,Disponibilidade de Caixa Bruta,9476832.97,False
2024,3,RGF-Municipio,2304806,GRANJEIRO,CE,RECEITA CORRENTE LÍQUIDA,41247551.27,False
2024,3,RGF-Municipio,2304806,GRANJEIRO,CE,RECEITA CORRENTE LÍQUIDA AJUSTADA,41247551.27,False
2024,3,RGF-Municipio,2304806,GRANJEIRO,CE,% da DC sobre a RCL AJUSTADA,60.37,False
2024,3,RGF-Municipio,2304806,GRANJEIRO,CE,% da DCL sobre a RCL AJUSTADA,41.98,False
2024,3,RGF-Municipio,2306702,JAGUARETAMA,CE,DÍVIDA CONSOLIDADA,38687575.84,False
2024,3,RGF-Municipio,2306702,JAGUARETAMA,CE,Disponibilidade de Caixa,9968771.75,False
2024,3,RGF-Municipio,2306702,JAGUARETAMA,CE,Disponibilidade de Caixa Bruta,13317295.47,False
2024,3,RGF-Municipio,2306702,JAGUARETAMA,CE,RECEITA CORRENTE LÍQUIDA,106550948.33,False
2024,3,RGF-Municipio,2306702,JAGUARETAMA,CE,RECEITA CORRENTE LÍQUIDA AJUSTADA,105174714.61,False
2024,3,RGF-Municipio,2306702,JAGUARETAMA,CE,% da DC sobre a RCL AJUSTADA,36.78,False
2024,3,RGF-Municipio,2306702,JAGUARETAMA,CE,% da DCL sobre a RCL AJUSTADA,27.31,False
2024,3,RGF-Municipio,2306702,JAGUARETAMA,CE,Precatórios (Não incluídos na DC),1592019.0,False
2024,3,RGF-Municipio,2311108,PORTEIRAS,CE,DÍVIDA CONSOLIDADA,6739100.63,False
2024,3,RGF-Municipio,2311108,PORTEIRAS,CE,Disponibilidade de Caixa,6776229.25,False
2024,3,RGF-Municipio,2311108,PORTEIRAS,CE,Disponibilidade de Caixa Bruta,7203081.96,False
2024,3,RGF-Municipio,2311108,PORTEIRAS,CE,RECEITA CORRENTE LÍQUIDA,98770684.16,False
2024,3,RGF-Municipio,2311108,PORTEIRAS,CE,RECEITA CORRENTE LÍQUIDA AJUSTADA,98770684.16,False
2024,3,RGF-Municipio,2311108,PORTEIRAS,CE,% da DC sobre a RCL AJUSTADA,6.82,False
2024,3,RGF-Municipio,2311108,PORTEIRAS,CE,% da DCL sobre a RCL AJUSTADA,-0.04,False
2024,3,RGF-Municipio,2313252,TARRAFAS,CE,DÍVIDA CONSOLIDADA,29394167.83,False
2024,3,RGF-Municipio,2313252,TARRAFAS,CE,Disponibilidade de Caixa,-2415450.79,False
2024,3,RGF-Municipio,2313252,TARRAFAS,CE,Disponibilidade de Caixa Bruta,876064.74,False
2024,3,RGF-Municipio,2313252,TARRAFAS,CE,RECEITA CORRENTE LÍQUIDA,41430793.62,False
2024,3,RGF-Municipio,2313252,TARRAFAS,CE,RECEITA CORRENTE LÍQUIDA AJUSTADA,41138930.62,False
2024,3,RGF-Municipio,2313252,TARRAFAS,CE,% da DC sobre a RCL AJUSTADA,71.45,False
2024,3,RGF-Municipio,2313252,TARRAFAS,CE,% da DCL sobre a RCL AJUSTADA,77.32,False
2024,3,RGF-Municipio,2300754,AMONTADA,CE,DÍVIDA CONSOLIDADA,29191478.71,False
2024,3,RGF-Municipio,2300754,AMONTADA,CE,Precatórios (inclusive) Vencidos e Não Pagos,659669.32,False
2024,3,RGF-Municipio,2300754,AMONTADA,CE,Disponibilidade de Caixa,-10318366.7,False
2024,3,RGF-Municipio,2300754,AMONTADA,CE,Disponibilidade de Caixa Bruta,17924166.29,False
2024,3,RGF-Municipio,2300754,AMONTADA,CE,RECEITA CORRENTE LÍQUIDA,227764617.49,False
2024,3,RGF-Municipio,2300754,AMONTADA,CE,RECEITA CORRENTE LÍQUIDA AJUSTADA,226764617.49,False
2024,3,RGF-Municipio,2300754,AMONTADA,CE,% da DC sobre a RCL AJUSTADA,12.87,False
2024,3,RGF-Municipio,2300754,AMONTADA,CE,% da DCL sobre a RCL AJUSTADA,15.26,False
2024,3,RGF-Municipio,2300754,AMONTADA,CE,Precatórios (Não incluídos na DC),0.0,False
2024,3,RGF-Municipio,2303402,CARNAUBAL,CE,Disponibilidade de Caixa,-5296545.3,False
2024,3,RGF-Municipio,2303402,CARNAUBAL,CE,Disponibilidade de Caixa Bruta,7843428.84,False
2024,3,RGF-Municipio,2303402,CARNAUBAL,CE,RECEITA CORRENTE LÍQUIDA,100875186.38,False
2024,3,RGF-Municipio,2303402,CARNAUBAL,CE,RECEITA CORRENTE LÍQUIDA AJUSTADA,100550186.38,False
2024,3,RGF-Municipio,2303402,CARNAUBAL,CE,% da DCL sobre a RCL AJUSTADA,5.27,False
2024,3,RGF-Municipio,2303402,CARNAUBAL,CE,Precatórios (Não incluídos na DC),23899.78,False
2024,3,RGF-Municipio,2304905,GROAIRAS,CE,DÍVIDA CONSOLIDADA,10241035.46,False
2024,3,RGF-Municipio,2304905,GROAIRAS,CE,Precatórios (inclusive) Vencidos e Não Pagos,127013.76,False
2024,3,RGF-Municipio,2304905,GROAIRAS,CE,Disponibilidade de Caixa,2816967.17,False
2024,3,RGF-Municipio,2304905,GROAIRAS,CE,Disponibilidade de Caixa Bruta,4426507.85,False
2024,3,RGF-Municipio,2304905,GROAIRAS,CE,RECEITA CORRENTE LÍQUIDA,65276198.5,False
2024,3,RGF-Municipio,2304905,GROAIRAS,CE,RECEITA CORRENTE LÍQUIDA AJUSTADA,65276198.5,False
2024,3,RGF-Municipio,2304905,GROAIRAS,CE,% da DC sobre a RCL AJUSTADA,15.69,False
2024,3,RGF-Municipio,2304905,GROAIRAS,CE,% da DCL sobre a RCL AJUSTADA,11.37,False
2024,3,RGF-Municipio,2306801,JAGUARIBARA,CE,DÍVIDA CONSOLIDADA,18669999.9,False
2024,3,RGF-Municipio,2306801,JAGUARIBARA,CE,Disponibilidade de Caixa,311961.21,False
2024,3,RGF-Municipio,2306801,JAGUARIBARA,CE,Disponibilidade de Caixa Bruta,5974838.39,False
2024,3,RGF-Municipio,2306801,JAGUARIBARA,CE,RECEITA CORRENTE LÍQUIDA,78624527.99,False
2024,3,RGF-Municipio,2306801,JAGUARIBARA,CE,RECEITA CORRENTE LÍQUIDA AJUSTADA,76145423.99,False
2024,3,RGF-Municipio,2306801,JAGUARIBARA,CE,% da DC sobre a RCL AJUSTADA,24.52,False
2024,3,RGF-Municipio,2306801,JAGUARIBARA,CE,% da DCL sobre a RCL AJUSTADA,24.1,False
2024,3,RGF-Municipio,2308906,MORRINHOS,CE,DÍVIDA CONSOLIDADA,6020445.68,False
2024,3,RGF-Municipio,2308906,MORRINHOS,CE,Disponibilidade de Caixa,830687.18,False
2024,3,RGF-Municipio,2308906,MORRINHOS,CE,Disponibilidade de Caixa Bruta,9165475.7,False
2024,3,RGF-Municipio,2308906,MORRINHOS,CE,RECEITA CORRENTE LÍQUIDA,106418022.41,False
2024,3,RGF-Municipio,2308906,MORRINHOS,CE,RECEITA CORRENTE LÍQUIDA AJUSTADA,102268049.41,False
2024,3,RGF-Municipio,2308906,MORRINHOS,CE,% da DC sobre a RCL AJUSTADA,5.89,False
2024,3,RGF-Municipio,2308906,MORRINHOS,CE,% da DCL sobre a RCL AJUSTADA,5.06,False
2024,3,RGF-Municipio,2311207,POTENGI,CE,DÍVIDA CONSOLIDADA,7836605.02,False
2024,3,RGF-Municipio,2311207,POTENGI,CE,Disponibilidade de Caixa,-4843041.54,False
2024,3,RGF-Municipio,2311207,POTENGI,CE,Disponibilidade de Caixa Bruta,2822787.27,False
2024,3,RGF-Municipio,2311207,POTENGI,CE,RECEITA CORRENTE LÍQUIDA,52691757.9,False
2024,3,RGF-Municipio,2311207,POTENGI,CE,RECEITA CORRENTE LÍQUIDA AJUSTADA,52691757.9,False
2024,3,RGF-Municipio,2311207,POTENGI,CE,% da DC sobre a RCL AJUSTADA,14.87,False
2024,3,RGF-Municipio,2311207,POTENGI,CE,% da DCL sobre a RCL AJUSTADA,24.06,False
2024,3,RGF-Municipio,2313302,TAUA,CE,DÍVIDA CONSOLIDADA,67208080.62,False
2024,3,RGF-Municipio,2313302,TAUA,CE,Disponibilidade de Caixa,79345381.07,False
2024,3,RGF-Municipio,2313302,TAUA,CE,Disponibilidade de Caixa Bruta,113011596.85,False
2024,3,RGF-Municipio,2313302,TAUA,CE,RECEITA CORRENTE LÍQUIDA,381243108.87,False
2024,3,RGF-Municipio,2313302,TAUA,CE,RECEITA CORRENTE LÍQUIDA AJUSTADA,344128184.87,False
2024,3,RGF-Municipio,2313302,TAUA,CE,% da DC sobre a RCL AJUSTADA,19.53,False
2024,3,RGF-Municipio,2313302,TAUA,CE,% da DCL sobre a RCL AJUSTADA,-3.53,False
2024,3,RGF-Municipio,2313302,TAUA,CE,Precatórios (Não incluídos na DC),458848.12,False
2024,3,RGF-Municipio,2300606,ALTANEIRA,CE,DÍVIDA CONSOLIDADA,11143451.9,False
2024,3,RGF-Municipio,2300606,ALTANEIRA,CE,Disponibilidade de Caixa,-1608437.0,False
2024,3,RGF-Municipio,2300606,ALTANEIRA,CE,Disponibilidade de Caixa Bruta,4979805.24,False
2024,3,RGF-Municipio,2300606,ALTANEIRA,CE,RECEITA CORRENTE LÍQUIDA,56081757.95,False
2024,3,RGF-Municipio,2300606,ALTANEIRA,CE,RECEITA CORRENTE LÍQUIDA AJUSTADA,54215496.19,False
2024,3,RGF-Municipio,2300606,ALTANEIRA,CE,% da DC sobre a RCL AJUSTADA,20.55,False
2024,3,RGF-Municipio,2300606,ALTANEIRA,CE,% da DCL sobre a RCL AJUSTADA,23.52,False
