exercicio,periodo,relatorio,co_ibge,instituicao,uf,conta,valor,simplificado
2024,3,RGF-UF,22,GOVERNO DO ESTADO DO PIAUI,PI,RECEITA CORRENTE LÍQUIDA AJUSTADA,17143155807.12,False
2024,3,RGF-UF,22,GOVERNO DO ESTADO DO PIAUI,PI,% da DC sobre a RCL AJUSTADA,76.88,False
2024,3,RGF-UF,22,GOVERNO DO ESTADO DO PIAUI,PI,% da DCL sobre a RCL AJUSTADA,62.72,False
2024,3,RGF-UF,22,GOVERNO DO ESTADO DO PIAUI,PI,Precatórios (Não incluídos na DC),70752021.88,False
2023,3,RGF-UF,25,GOVERNO DO ESTADO DA PARAIBA,PB,DÍVIDA CONSOLIDADA,6975989178.85,False
2023,3,RGF-UF,25,GOVERNO DO ESTADO DA PARAIBA,PB,Empréstimos,1313227364.74,False
2023,3,RGF-UF,25,GOVERNO DO ESTADO DA PARAIBA,PB,Parcelamento e Renegociação de Dívidas,130571078.85,False
2023,3,RGF-UF,25,GOVERNO DO ESTADO DA PARAIBA,PB,Precatórios (inclusive) Vencidos e Não Pagos,4400762365.58,False
2023,3,RGF-UF,25,GOVERNO DO ESTADO DA PARAIBA,PB,Disponibilidade de Caixa,6563525141.14,False
2023,3,RGF-UF,25,GOVERNO DO ESTADO DA PARAIBA,PB,Disponibilidade de Caixa Bruta,7140628227.37,False
2023,3,RGF-UF,25,GOVERNO DO ESTADO DA PARAIBA,PB,DÍVIDA CONSOLIDADA LÍQUIDA,-195385655.48,False
2023,3,RGF-UF,25,GOVERNO DO ESTADO DA PARAIBA,PB,RECEITA CORRENTE LÍQUIDA,16773627778.96,False
2023,3,RGF-UF,25,GOVERNO DO ESTADO DA PARAIBA,PB,% da DC sobre a RCL AJUSTADA,41.6,False
2023,3,RGF-UF,25,GOVERNO DO ESTADO DA PARAIBA,PB,% da DCL sobre a RCL AJUSTADA,-1.17,False
2022,3,RGF-UF,27,GOVERNO DO ESTADO DE ALAGOAS,AL,DÍVIDA CONSOLIDADA,10359518124.82,False
2022,3,RGF-UF,27,GOVERNO DO ESTADO DE ALAGOAS,AL,Empréstimos,3767816170.54,False
2022,3,RGF-UF,27,GOVERNO DO ESTADO DE ALAGOAS,AL,Parcelamento e Renegociação de Dívidas,165845065.01,False
2022,3,RGF-UF,27,GOVERNO DO ESTADO DE ALAGOAS,AL,Disponibilidade de Caixa,2575594629.94,False
2022,3,RGF-UF,27,GOVERNO DO ESTADO DE ALAGOAS,AL,Disponibilidade de Caixa Bruta,2735468340.06,False
2022,3,RGF-UF,27,GOVERNO DO ESTADO DE ALAGOAS,AL,DÍVIDA CONSOLIDADA LÍQUIDA,7245315323.33,False
2022,3,RGF-UF,27,GOVERNO DO ESTADO DE ALAGOAS,AL,RECEITA CORRENTE LÍQUIDA,13177911886.17,False
2022,3,RGF-UF,27,GOVERNO DO ESTADO DE ALAGOAS,AL,% da DC sobre a RCL AJUSTADA,78.62,False
2022,3,RGF-UF,27,GOVERNO DO ESTADO DE ALAGOAS,AL,% da DCL sobre a RCL AJUSTADA,54.98,False
2021,3,RGF-UF,29,GOVERNO DO ESTADO DA BAHIA,BA,DÍVIDA CONSOLIDADA,29326652702.37,False
2021,3,RGF-UF,29,GOVERNO DO ESTADO DA BAHIA,BA,Parcelamento e Renegociação de Dívidas,355313192.84,False
2021,3,RGF-UF,29,GOVERNO DO ESTADO DA BAHIA,BA,Precatórios (inclusive) Vencidos e Não Pagos,4906273996.42,False
