exercicio,instituicao,uf,conta,valor
2019,Prefeitura Municipal de Escada - PE,PE,RECEITA CORRENTE LÍQUIDA,107995735.64
2019,Prefeitura Municipal de Exu - PE,PE,RECEITA CORRENTE LÍQUIDA,64003310.49
2019,Prefeitura Municipal de Feira Nova - PE,PE,Disponibilidade de Caixa,976743.5
2019,Prefeitura Municipal de Feira Nova - PE,PE,Disponibilidade de Caixa Bruta,-1504224.72
2019,Prefeitura Municipal de Feira Nova - PE,PE,RECEITA CORRENTE LÍQUIDA,47550189.92
2019,Prefeitura Municipal de Ferreiros - PE,PE,RECEITA CORRENTE LÍQUIDA,26887609.59
2019,Prefeitura Municipal de Floresta - PE,PE,RECEITA CORRENTE LÍQUIDA,76217606.13
2019,Prefeitura Municipal de Frei Miguelinho - PE,PE,DÍVIDA CONSOLIDADA,6950267.11
2019,Prefeitura Municipal de Frei Miguelinho - PE,PE,Disponibilidade de Caixa,2295368.06
2019,Prefeitura Municipal de Frei Miguelinho - PE,PE,Disponibilidade de Caixa Bruta,2555440.73
2019,Prefeitura Municipal de Frei Miguelinho - PE,PE,RECEITA CORRENTE LÍQUIDA,30933713.76
2019,Prefeitura Municipal de Gameleira - PE,PE,Disponibilidade de Caixa,2845058.62
2019,Prefeitura Municipal de Gameleira - PE,PE,Disponibilidade de Caixa Bruta,3036804.07
2019,Prefeitura Municipal de Gameleira - PE,PE,RECEITA CORRENTE LÍQUIDA,49359535.43
2019,Prefeitura Municipal de Garanhuns - PE,PE,DÍVIDA CONSOLIDADA,6916857.72
2019,Prefeitura Municipal de Garanhuns - PE,PE,Precatórios (inclusive) Vencidos e Não Pagos,573946.13
2019,Prefeitura Municipal de Garanhuns - PE,PE,Disponibilidade de Caixa,32143625.41
2019,Prefeitura Municipal de Garanhuns - PE,PE,Disponibilidade de Caixa Bruta,32991738.63
2019,Prefeitura Municipal de Garanhuns - PE,PE,RECEITA CORRENTE LÍQUIDA,263457431.32
2019,Prefeitura Municipal de Garanhuns - PE,PE,Precatórios (Não incluídos na DC),378306842.06
2019,Prefeitura Municipal de Glória do Goitá - PE,PE,DÍVIDA CONSOLIDADA,3192125.92
2019,Prefeitura Municipal de Glória do Goitá - PE,PE,Disponibilidade de Caixa,3750072.33
2019,Prefeitura Municipal de Glória do Goitá - PE,PE,Disponibilidade de Caixa Bruta,5023941.07
2019,Prefeitura Municipal de Glória do Goitá - PE,PE,RECEITA CORRENTE LÍQUIDA,54113008.82
2019,Prefeitura Municipal de Glória do Goitá - PE,PE,Precatórios (Não incluídos na DC),12000.0
2019,Prefeitura Municipal de Goiana - PE,PE,Disponibilidade de Caixa,138264020.24
2019,Prefeitura Municipal de Goiana - PE,PE,Disponibilidade de Caixa Bruta,139691544.62
2019,Prefeitura Municipal de Goiana - PE,PE,RECEITA CORRENTE LÍQUIDA,258651784.18
2019,Prefeitura Municipal de Goiana - PE,PE,Precatórios (Não incluídos na DC),126396371.73
2019,Prefeitura Municipal de Granito - PE,PE,DÍVIDA CONSOLIDADA,667849.44
2019,Prefeitura Municipal de Granito - PE,PE,Disponibilidade de Caixa,3932602.3
2019,Prefeitura Municipal de Granito - PE,PE,Disponibilidade de Caixa Bruta,4003272.87
2019,Prefeitura Municipal de Granito - PE,PE,RECEITA CORRENTE LÍQUIDA,23471729.87
2019,Prefeitura Municipal de Iati - PE,PE,Disponibilidade de Caixa,6831514.75
2019,Prefeitura Municipal de Iati - PE,PE,Disponibilidade de Caixa Bruta,22969801.44
2019,Prefeitura Municipal de Iati - PE,PE,RECEITA CORRENTE LÍQUIDA,48286246.52
2019,Prefeitura Municipal de Igarassu - PE,PE,DÍVIDA CONSOLIDADA,37654038.69
2019,Prefeitura Municipal de Igarassu - PE,PE,Disponibilidade de Caixa,82736471.96
2019,Prefeitura Municipal de Igarassu - PE,PE,Disponibilidade de Caixa Bruta,96909881.51
2019,Prefeitura Municipal de Igarassu - PE,PE,RECEITA CORRENTE LÍQUIDA,220580296.29
2019,Prefeitura Municipal de Gravatá - PE,PE,DÍVIDA CONSOLIDADA,59935065.74
2019,Prefeitura Municipal de Gravatá - PE,PE,Disponibilidade de Caixa,6751475.69
2019,Prefeitura Municipal de Gravatá - PE,PE,Disponibilidade de Caixa Bruta,23612767.22
2019,Prefeitura Municipal de Gravatá - PE,PE,RECEITA CORRENTE LÍQUIDA,160752237.1
2019,Prefeitura Municipal de Gravatá - PE,PE,Precatórios (Não incluídos na DC),2009720.16
2019,Prefeitura Municipal de Ibirajuba - PE,PE,DÍVIDA CONSOLIDADA,7971420.14
2019,Prefeitura Municipal de Ibirajuba - PE,PE,Disponibilidade de Caixa,1076818.48
2019,Prefeitura Municipal de Ibirajuba - PE,PE,Disponibilidade de Caixa Bruta,2820799.11
2019,Prefeitura Municipal de Ibirajuba - PE,PE,RECEITA CORRENTE LÍQUIDA,21073157.93
2019,Prefeitura Municipal de Ibimirim - PE,PE,Disponibilidade de Caixa,4090354.57
2019,Prefeitura Municipal de Ibimirim - PE,PE,Disponibilidade de Caixa Bruta,6793902.22
2019,Prefeitura Municipal de Ibimirim - PE,PE,RECEITA CORRENTE LÍQUIDA,53074541.44
2019,Prefeitura Municipal de Ilha de Itamaracá - PE,PE,DÍVIDA CONSOLIDADA,17818237.73
2019,Prefeitura Municipal de Ilha de Itamaracá - PE,PE,Disponibilidade de Caixa Bruta,1377284.59
2019,Prefeitura Municipal de Ilha de Itamaracá - PE,PE,RECEITA CORRENTE LÍQUIDA,56926142.05
2019,Prefeitura Municipal de Inajá - PE,PE,DÍVIDA CONSOLIDADA,6809679.69
2019,Prefeitura Municipal de Inajá - PE,PE,Disponibilidade de Caixa,3107085.18
2019,Prefeitura Municipal de Inajá - PE,PE,Disponibilidade de Caixa Bruta,12857856.8
2019,Prefeitura Municipal de Inajá - PE,PE,RECEITA CORRENTE LÍQUIDA,39625036.34
2019,Prefeitura Municipal de Itacuruba - PE,PE,DÍVIDA CONSOLIDADA,8538532.15
2019,Prefeitura Municipal de Itacuruba - PE,PE,Disponibilidade de Caixa Bruta,1310559.79
2019,Prefeitura Municipal de Itacuruba - PE,PE,RECEITA CORRENTE LÍQUIDA,25623106.29
2019,Prefeitura Municipal de Itaíba - PE,PE,DÍVIDA CONSOLIDADA,973955.84
2019,Prefeitura Municipal de Itaíba - PE,PE,Disponibilidade de Caixa,14386271.0
2019,Prefeitura Municipal de Itaíba - PE,PE,Disponibilidade de Caixa Bruta,21509161.88
2019,Prefeitura Municipal de Itaíba - PE,PE,RECEITA CORRENTE LÍQUIDA,77458992.46
2019,Prefeitura Municipal de Ipojuca - PE,PE,DÍVIDA CONSOLIDADA,18403741.41
2019,Prefeitura Municipal de Ipojuca - PE,PE,Precatórios (inclusive) Vencidos e Não Pagos,10118.72
2019,Prefeitura Municipal de Ipojuca - PE,PE,Disponibilidade de Caixa,68433754.03
2019,Prefeitura Municipal de Ipojuca - PE,PE,Disponibilidade de Caixa Bruta,89434305.91
2019,Prefeitura Municipal de Ipojuca - PE,PE,RECEITA CORRENTE LÍQUIDA,764244020.79
2019,Prefeitura Municipal de Ipubi - PE,PE,Disponibilidade de Caixa Bruta,11805634.53
2019,Prefeitura Municipal de Ipubi - PE,PE,RECEITA CORRENTE LÍQUIDA,63541714.31
2019,Prefeitura Municipal de Ipubi - PE,PE,Precatórios (Não incluídos na DC),128862405.6
2019,Prefeitura Municipal de Itambé - PE,PE,DÍVIDA CONSOLIDADA,29711878.51
2019,Prefeitura Municipal de Itambé - PE,PE,Disponibilidade de Caixa,2181865.37
2019,Prefeitura Municipal de Itambé - PE,PE,Disponibilidade de Caixa Bruta,6715903.08
2019,Prefeitura Municipal de Itambé - PE,PE,RECEITA CORRENTE LÍQUIDA,67471519.72
2019,Prefeitura Municipal de Itapissuma - PE,PE,DÍVIDA CONSOLIDADA,5386895.52
2019,Prefeitura Municipal de Itapissuma - PE,PE,Disponibilidade de Caixa,16613749.3
2019,Prefeitura Municipal de Itapissuma - PE,PE,Disponibilidade de Caixa Bruta,23334620.37
